map_id,map_path,time_index,group,alias,feature,match_type,r
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,attention,attention,attention,exact,0.2605193061099804
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,attention,attentional,attentional,exact,0.2694752837158475
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,attention,salience,salience,exact,-0.16612513000706958
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,attention,orienting,orienting,exact,0.18456786167059394
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,attention,target,target,exact,0.31125113740828575
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,attention,visual attention,visual attention,exact,0.22845833967085943
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,reward,reward,reward,exact,-0.15347152820811644
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,reward,value,value,exact,-0.16965251898872835
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,reward,incentive,incentive,exact,-0.06878499986813606
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,reward,motivation,motivation,exact,-0.08846667849907212
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,reward,preference,preference,exact,0.17905728850421393
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,reward,reinforcement,reinforcement,exact,-0.07380339001939074
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,memory,memory,memory,exact,-0.1134084134658148
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,memory,encoding,encoding,exact,-0.01708143167752536
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,memory,recall,recall,exact,-0.24935483056775254
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,memory,recognition,recognition,exact,0.017225749111381014
tribe_predictions_fsaverage5,/content/drive/MyDrive/neuromedia/outputs/tribe_fsaverage5/4754449h/tribe_predictions_fsaverage5.npy,0,memory,episodic,episodic,exact,-0.27573528676973785
